Date,Close
2025-12-09,679.1727294921875
2025-12-10,683.6771850585938
2025-12-11,685.26806640625
2025-12-12,677.9000244140625
2025-12-15,676.8758544921875
2025-12-16,675.0264282226562
2025-12-17,667.5986938476562
2025-12-18,672.6399536132812
2025-12-19,678.7363891601562
2025-12-22,682.96484375
2025-12-23,686.0863037109375
2025-12-24,688.4996948242188
2025-12-26,688.4298706054688
2025-12-29,685.9765625
2025-12-30,685.138916015625
2025-12-31,680.062744140625
2026-01-02,681.309326171875
2026-01-05,685.846923828125
2026-01-06,689.92578125
2026-01-07,687.701904296875
2026-01-08,687.632080078125
2026-01-09,692.1796264648438
2026-01-12,693.2666625976562
2026-01-13,691.8804931640625
2026-01-14,688.479736328125
2026-01-15,690.3546142578125
2026-01-16,689.7761840820312
2026-01-20,675.7345581054688
2026-01-21,683.5332641601562
2026-01-22,687.103515625
2026-01-23,687.352783203125
2026-01-26,690.84326171875
2026-01-27,693.5957641601562
2026-01-28,693.5259399414062
2026-01-29,692.1497192382812
2026-01-30,690.0853271484375
2026-02-02,693.5159912109375
2026-02-03,687.6520385742188
2026-02-04,684.3211059570312
2026-02-05,675.7744750976562
2026-02-06,688.739013671875
2026-02-09,692.0599975585938
2026-02-10,690.2349243164062
2026-02-11,690.075439453125
2026-02-12,679.41455078125
2026-02-13,679.8931884765625
2026-02-17,680.9901733398438
2026-02-18,684.4208374023438
2026-02-19,682.61572265625
2026-02-20,687.5523071289062
2026-02-23,680.531494140625
2026-02-24,685.4779052734375
2026-02-25,691.26220703125
2026-02-26,687.422607421875
2026-02-27,684.1216430664062
2026-03-02,684.5106201171875
2026-03-03,678.4771118164062
2026-03-04,683.2639770507812
2026-03-05,679.4544067382812
2026-03-06,670.5487060546875
2026-03-09,676.4227294921875
2026-03-10,675.3356323242188
2026-03-11,674.4879760742188
2026-03-12,664.2459106445312
2026-03-13,660.4862060546875
2026-03-16,667.2078857421875
2026-03-17,668.9630126953125
2026-03-18,659.6285400390625
2026-03-19,658.0029907226562
2026-03-20,648.5700073242188
2026-03-23,655.3800048828125
2026-03-24,653.1799926757812
2026-03-25,656.8200073242188
2026-03-26,645.0900268554688
2026-03-27,634.0900268554688
2026-03-30,631.969970703125
2026-03-31,650.3400268554688
2026-04-01,655.239990234375
2026-04-02,655.8300170898438
2026-04-06,658.9299926757812
2026-04-07,659.219970703125
2026-04-08,676.010009765625
2026-04-09,679.9099731445312
2026-04-10,679.4600219726562
2026-04-13,686.0999755859375
2026-04-14,694.4600219726562
2026-04-15,699.9400024414062
2026-04-16,701.6599731445312
2026-04-17,710.1400146484375
2026-04-20,708.719970703125
2026-04-21,704.0800170898438
2026-04-22,711.2100219726562
2026-04-23,708.4500122070312
2026-04-24,713.9400024414062
2026-04-27,715.1699829101562
2026-04-28,711.6900024414062
2026-04-29,711.5800170898438
2026-04-30,718.6599731445312
2026-05-01,720.6500244140625
2026-05-04,718.010009765625
2026-05-05,723.77001953125
2026-05-06,733.8300170898438
2026-05-07,731.5800170898438
2026-05-08,737.6199951171875
2026-05-11,739.2999877929688
2026-05-12,738.1799926757812
2026-05-13,742.3099975585938
2026-05-14,748.1699829101562
2026-05-15,739.1699829101562
2026-05-18,738.6500244140625
2026-05-19,733.72998046875
2026-05-20,741.25
2026-05-21,742.719970703125
2026-05-22,745.6400146484375
2026-05-26,750.5900268554688
2026-05-27,750.4600219726562
2026-05-28,754.5999755859375
2026-05-29,756.47998046875
2026-06-01,758.5399780273438
2026-06-02,759.5700073242188
2026-06-03,754.239990234375
2026-06-04,757.1599731445312
